,index,word,sum_prob
0,3,pailleteur,2.9300063024515817
1,4,boniche,2.9070930035645866
2,8,vénérologiste,2.9522728481291125
3,21,croisé,2.827861155942726
4,32,scieur,2.970051043908448
5,39,gaufrier,2.8067014758603874
6,41,épistémologiste,2.9908557990627003
7,47,unanimiste,2.9881926789575286
8,48,pauvret,2.8561198431455774
9,85,goupineur,2.983823119480662
10,90,zouave,2.9650348356195435
11,93,petit-maître,2.979271048400987
12,94,brouettier,2.8407900500776626
13,104,agrarien,2.9681082642744783
14,129,taraudeur,2.968546884518462
15,138,procurateur,2.9741838219236105
16,148,champenois,2.9292831440479308
17,164,asphalteur,2.8267721834248714
18,168,discriminateur,2.9335089940665
19,171,socratique,2.8966862692250848
20,176,moussaillon,2.8422363000742896
21,187,oviste,2.9428846390529886
22,194,océanaute,2.9572746569741617
23,196,andalou,2.8493339483351816
24,202,assomptionniste,2.9429309368761922
25,215,unioniste,2.9508113824603415
26,216,grillageur,2.8543098282226333
27,222,conceptualiste,2.98689094838739
28,231,prosodiste,2.9061645382936154
29,233,maton,2.9607652066931562
30,237,fadard,2.844154089704091
31,248,anabaptiste,2.9851136158487805
32,253,bouffarde,2.958803659392387
33,258,pasteurien,2.970306553397528
34,262,monographe,2.966951936187603
35,273,mariniste,2.988025467927015
36,280,avenant,2.866133444618066
37,292,quartettiste,2.971712645366166
38,299,scriban,2.8648470269629494
39,302,orphéoniste,2.980771616358491
40,309,capoulié,2.8487617515135195
41,310,pisteur-secouriste,2.900137400829707
42,316,tréfileur,2.8773403095219403
43,320,prémontré,2.8094510196156124
44,321,trapéziste,2.983296994037268
45,328,thomiste,2.961243667257737
46,332,lancier,2.844990412526153
47,343,blatier,2.84625644183066
48,366,ergatif,2.8651277573898075
49,370,arpète,2.9186591184362047
50,378,marianiste,2.938188291773515
51,380,bosseyeur,2.9839278317104054
52,404,pharaon,2.9375074305240814
53,409,émouleur,2.8898181574873063
54,418,vieux-catholique,2.8871521498830512
55,419,édile,2.9827779124302154
