dataset,overall_m_score_e1,ci_e1,rank_e1,overall_m_score_e2,ci_e2,rank_e2
mistral-small,0.948,"[0.893, 1.002]",8,1.479,"[1.457, 1.501]",3
llama,0.958,"[0.901, 1.015]",7,1.458,"[1.434, 1.483]",5
claude-3-haiku,0.988,"[0.950, 1.027]",6,1.516,"[1.494, 1.538]",1
ministral,1.006,"[0.953, 1.058]",5,1.502,"[1.477, 1.524]",2
gemini,1.039,"[0.995, 1.084]",4,1.437,"[1.414, 1.460]",6
gpt4o_mini,1.048,"[1.003, 1.091]",3,1.477,"[1.455, 1.500]",4
oracle,1.092,"[1.040, 1.142]",2,,-,
oasst2,1.138,"[1.041, 1.229]",1,,-,
