model,MG/HN_e1,INCL/HN_e1,NEUT/HN_e1,Pareto-optimal?_e1,MG/HN_e2,INCL/HN_e2,NEUT/HN_e2,Pareto-optimal?_e2
claude-3-haiku,55.6333,0.2519,15.6893,,80.3684,0.2031,5.4489,
gemini,57.9662,0.1117,14.8627,,77.1745,0.2229,8.9148,✓
gpt4o_mini,58.9385,0.3615,16.2175,✓,78.8903,0.387,6.9532,✓
llama,54.4741,0.8438,15.208,✓,78.1732,0.7715,6.558,✓
ministral,56.6944,0.0946,16.736,,79.9181,0.1419,6.9432,
mistral-small,54.1705,0.275,17.9881,✓,78.7402,0.1248,6.8562,
oasst2,64.7701,0.7471,19.023,✓,,,,
oracle,60.8272,0.3512,14.5142,,,,,
