dataset,incl_e1,ci_incl_e1,neut_e1,ci_neut_e1,incl_e2,ci_incl_e2,neut_e2,ci_neut_e2
oracle,0.33,"[0.14, 0.54]",9.62,"[8.54, 10.74]",,,,
oasst2,0.31,"[0.10, 0.56]",9.06,"[7.78, 10.34]",,,,
gemini,0.11,"[0.04, 0.21]",10.32,"[9.51, 11.14]",0.55,"[0.35, 0.77]",20.2,"[19.03, 21.38]"
gpt4o_mini,0.29,"[0.14, 0.45]",12.79,"[11.86, 13.73]",0.88,"[0.62, 1.17]",14.74,"[13.72, 15.79]"
claude-3-haiku,0.14,"[0.06, 0.22]",9.39,"[8.72, 10.07]",0.55,"[0.35, 0.77]",11.13,"[10.23, 12.05]"
llama,0.92,"[0.64, 1.23]",9.57,"[8.65, 10.51]",2.09,"[1.70, 2.51]",12.59,"[11.66, 13.56]"
ministral,0.09,"[0.02, 0.17]",10.24,"[9.36, 11.14]",0.38,"[0.20, 0.57]",13.96,"[12.97, 14.98]"
mistral-small,0.26,"[0.12, 0.44]",12.39,"[11.32, 13.51]",0.4,"[0.22, 0.59]",15.51,"[14.47, 16.57]"
