dataset,br_e1,ci_e1,br_e2,ci_e2,br_hn_e1,ci_hn_e1,br_hn_e2,ci_hn_e2
oracle,30.89,"[29.150, 32.622]",,,72.8,"[70.167, 75.259]",,
oasst2,22.94,"[21.045, 24.834]",,,73.93,"[70.388, 77.446]",,
gemini,27.64,"[26.436, 28.886]",75.35,"[74.072, 76.555]",75.6,"[73.681, 77.510]",92.1,"[91.231, 92.948]"
gpt4o_mini,29.98,"[28.689, 31.254]",80.83,"[79.705, 81.970]",73.6,"[71.646, 75.509]",94.47,"[93.758, 95.172]"
claude-3-haiku,26.7,"[25.689, 27.711]",78.78,"[77.590, 79.939]",69.13,"[67.379, 70.841]",94.32,"[93.576, 95.056]"
llama,26.84,"[25.485, 28.214]",71.92,"[70.562, 73.221]",72.05,"[69.756, 74.323]",94.98,"[94.236, 95.686]"
ministral,26.57,"[25.322, 27.811]",79.75,"[78.578, 80.941]",75.81,"[73.756, 77.864]",96.37,"[95.750, 96.946]"
mistral-small,27.71,"[26.224, 29.225]",84.69,"[83.660, 85.727]",72.37,"[69.901, 74.783]",96.15,"[95.551, 96.746]"
